City1,City2,Average Fare (AvgFare),Distance,Average weekly passengers (AvgWklyPsgr),market leading airline (LdAirline),market share (LdShare),Average fare (LdAvgFare),Low price airline (LowAirline),market share (LowShare),price (LowFare)
CVG,FLL,174.95,932.0,228.04,DL,87.08,179.78,CO,3.28,105.94
CVG,RSW,173.51,879.0,184.02,DL,92.91,174.9,UA,1.06,158.88
CVG,IAH,238.6,886.0,193.58,DL,54.4,242.98,CO,35.59,234.24
CVG,LAS,211.49,1678.0,205.0,DL,82.13,220.11,AA,8.0,116.68
CVG,LAX,321.4,1900.0,251.08,DL,75.67,343.53,NW,4.02,198.06
CVG,MSP,251.16,596.0,251.3,DL,47.92,241.4,DL,47.92,241.4
CVG,LGA,223.58,589.0,885.0,DL,77.7,225.45,DL,77.7,225.45
CVG,MCO,181.38,756.0,286.52,DL,88.96,186.54,CO,1.55,108.85
CVG,TPA,157.78,773.0,347.28,DL,92.42,158.76,CO,1.97,98.46
CVG,IAD,194.7,411.0,380.65,DL,93.94,198.16,US,3.34,107.06
CLE,DFW,258.85,1021.0,303.36,AA,61.3,254.07,AA,61.3,254.07
CLE,DEN,219.13,1201.0,310.1,UA,47.31,223.06,UA,47.31,223.06
CLE,FLL,159.37,1062.0,446.73,CO,62.4,168.65,DL,18.8,122.5
CLE,RSW,178.31,1025.0,313.69,CO,83.47,180.42,US,2.7,153.89
CLE,BDL,200.44,475.0,190.0,CO,64.47,222.3,WN,22.19,152.28
CLE,IAH,217.88,1107.0,431.41,CO,75.78,233.91,WN,10.9,186.36
CLE,MCI,149.38,694.0,204.67,CO,61.17,148.95,WN,21.98,144.6
CLE,LAS,158.7,1825.0,832.71,CO,78.16,161.44,DL,2.53,117.16
CLE,LAX,209.44,2053.0,579.45,CO,66.83,205.56,US,1.29,148.3
CLE,MIA,181.7,1080.0,202.5,CO,48.41,181.81,AA,28.82,171.88
CLE,MSP,254.99,622.0,298.15,NW,61.24,256.42,NW,61.24,256.42
CLE,BNA,84.31,448.0,416.73,WN,72.84,79.69,WN,72.84,79.69
CLE,LGA,231.15,425.0,1052.39,CO,80.03,242.15,AA,13.29,191.65
CLE,MCO,146.93,895.0,514.13,CO,61.96,154.64,DL,18.94,113.61
CLE,PHX,167.72,1737.0,473.26,CO,45.59,164.39,CO,45.59,164.39
CLE,PVD,200.39,540.0,187.17,CO,64.45,218.0,WN,26.07,158.62
CLE,STL,90.58,487.0,510.32,WN,46.62,72.63,WN,46.62,72.63
CLE,SAN,184.75,2026.0,224.67,CO,24.67,191.8,WN,15.04,158.29
CLE,SFO,274.75,2161.0,249.34,CO,42.63,328.35,UA,26.67,231.21
CLE,SEA,215.13,2021.0,192.71,UA,22.95,234.34,DL,11.28,145.79
CLE,TPA,155.57,932.0,443.15,CO,61.19,165.4,DL,19.86,128.22
CLE,IAD,221.19,310.0,213.15,CO,95.0,222.42,DL,2.29,181.62
COS,DFW,142.89,603.0,225.0,AA,94.15,141.05,CO,1.49,119.32
COS,LAS,121.42,604.0,285.32,G4,54.89,92.72,G4,54.89,92.72
COS,LAX,180.26,833.0,217.71,AA,49.52,168.73,AA,49.52,168.73
CAE,LGA,186.15,617.0,234.67,DL,48.95,187.01,US,16.76,153.82
CMH,DFW,152.57,927.0,542.17,AA,70.5,153.8,HP,17.14,150.31
CMH,DEN,212.25,1155.0,229.02,UA,56.52,222.5,AA,16.84,221.89
CMH,FLL,141.32,972.0,263.91,DL,42.0,149.57,WN,29.61,137.51
CMH,RSW,151.41,930.0,203.8,DL,59.62,148.74,US,10.77,147.86
CMH,BDL,131.81,550.0,196.84,HP,53.94,153.81,US,10.21,102.58
CMH,IAH,181.13,1001.0,276.73,CO,72.23,179.95,US,2.23,107.71
CMH,LAS,140.39,1772.0,733.69,HP,55.2,145.48,WN,18.22,131.54
CMH,LAX,166.38,1996.0,459.89,HP,33.06,186.17,UA,19.23,144.4
CMH,MSP,239.85,627.0,239.56,NW,80.35,255.87,UA,6.66,152.75
CMH,LGA,166.16,483.0,876.19,CO,35.19,184.51,DL,15.74,149.62
CMH,MCO,110.12,802.0,644.23,DL,32.63,107.19,HP,30.23,103.45
CMH,PHL,164.3,405.0,365.43,US,59.51,170.56,HP,37.0,151.17
CMH,PHX,149.65,1671.0,571.08,HP,46.85,164.62,WN,18.76,142.32
CMH,STL,82.44,410.0,334.56,AA,50.0,91.37,WN,46.58,69.12
CMH,SAN,152.25,1964.0,243.69,UA,18.37,140.89,NW,14.18,140.19
CMH,SFO,177.79,2121.0,218.47,UA,25.82,221.11,NW,15.07,145.65
CMH,SEA,157.29,2017.0,183.58,NW,26.46,150.1,AA,17.93,145.36
CMH,TPA,119.91,829.0,482.71,WN,51.4,120.33,DL,33.73,115.84
CRP,DFW,106.78,354.0,364.67,WN,67.71,104.36,WN,67.71,104.36
CRP,IAH,87.45,201.0,306.08,WN,66.54,86.72,WN,66.54,86.72
DFW,DAY,196.27,861.0,223.58,AA,63.29,199.05,AA,63.29,199.05
DFW,DEN,155.99,650.0,1488.69,AA,47.02,156.81,F9,18.2,140.0
DFW,DTW,231.6,987.0,722.5,AA,51.97,228.12,AA,51.97,228.12
DFW,ELP,109.72,562.0,893.8,WN,67.93,108.94,WN,67.93,108.94
DFW,FLL,212.91,1119.0,506.3,AA,48.19,225.23,DL,36.06,196.76
DFW,GSO,178.49,999.0,188.36,AA,50.6,167.74,AA,50.6,167.74
DFW,HRL,122.55,461.0,322.17,WN,98.0,122.07,WN,98.0,122.07
DFW,BDL,277.25,1471.0,322.93,AA,62.23,315.86,UA,10.16,177.12
DFW,IAH,86.02,252.0,4075.43,WN,71.68,83.57,WN,71.68,83.57
DFW,IND,190.66,762.0,431.19,AA,63.95,202.77,TZ,13.33,166.13
DFW,JAX,181.34,919.0,335.1,DL,49.56,189.0,AA,38.92,178.04
DFW,MCI,159.24,461.0,768.8,AA,94.3,159.23,AA,94.3,159.23
DFW,LAS,162.86,1067.0,1173.91,AA,58.75,173.25,HP,26.12,134.84
DFW,LIT,83.31,304.0,612.93,WN,71.64,80.58,WN,71.64,80.58
DFW,LGB,204.22,1220.0,494.13,AA,97.95,202.79,AA,97.95,202.79
DFW,LAX,240.12,1246.0,1266.52,AA,52.87,279.7,DL,13.38,169.34
DFW,SDF,208.03,733.0,229.56,AA,65.29,213.57,DL,20.45,199.48
DFW,LBB,77.76,293.0,770.97,WN,85.36,76.02,WN,85.36,76.02
DFW,MEM,186.63,432.0,299.23,AA,56.95,190.07,AA,56.95,190.07
DFW,MIA,223.28,1121.0,530.21,AA,81.44,226.89,FL,3.01,181.34
DFW,MAF,78.14,319.0,534.78,WN,86.56,76.51,WN,86.56,76.51
DFW,MKE,184.36,853.0,342.39,YX,46.69,189.41,AA,33.65,187.48
DFW,MSP,235.76,853.0,800.21,NW,39.03,263.33,AA,37.08,258.34
DFW,BNA,224.98,631.0,421.52,AA,69.64,234.39,AX,1.41,109.6
DFW,MSY,107.28,448.0,1199.89,WN,65.8,106.21,WN,65.8,106.21
DFW,LGA,248.32,1391.0,3261.41,AA,61.28,266.01,DL,13.26,207.91
DFW,ORF,191.54,1213.0,206.3,AA,74.18,177.83,AA,74.18,177.83
DFW,OAK,269.76,1468.0,283.15,AA,58.42,278.83,DL,11.82,230.3
DFW,OKC,83.35,181.0,375.32,WN,72.98,81.91,WN,72.98,81.91
DFW,OMA,206.8,585.0,235.0,AA,81.45,214.13,UA,8.14,133.77
DFW,ONT,214.23,1200.0,323.15,AA,51.69,217.0,DL,17.96,186.76
DFW,MCO,189.56,984.0,1009.89,AA,55.45,195.72,DL,31.23,177.98
DFW,PHL,226.96,1302.0,1006.3,AA,56.41,236.31,US,26.33,211.76
DFW,PHX,193.73,879.0,1091.95,AA,51.27,197.86,HP,33.34,188.28
DFW,PIT,223.85,1068.0,384.78,AA,44.88,240.57,US,32.42,213.29
DFW,PDX,238.67,1626.0,376.73,AA,45.23,253.33,F9,11.88,190.21
DFW,RDU,207.45,1062.0,522.06,AA,62.6,216.45,DL,20.67,195.86
DFW,RIC,227.12,1158.0,235.76,AA,81.6,218.52,UA,1.7,164.08
DFW,SMF,224.54,1442.0,328.58,AA,66.78,210.81,AA,66.78,210.81
DFW,STL,152.58,551.0,826.3,AA,92.56,152.11,UA,1.32,100.47
DFW,SLC,223.86,999.0,422.71,DL,39.67,239.37,AA,31.83,230.15
DFW,SAT,84.77,248.0,1695.32,WN,77.29,81.97,WN,77.29,81.97
DFW,SAN,250.47,1182.0,615.0,AA,59.91,273.84,HP,14.95,225.23
DFW,SFO,283.9,1476.0,805.86,AA,55.35,315.04,HP,12.92,199.58
DFW,SJC,288.99,1450.0,532.06,AA,74.6,298.89,HP,12.5,266.08
DFW,SNA,215.22,1216.0,580.54,AA,69.98,223.83,DL,12.69,150.95
DFW,SEA,254.29,1670.0,734.67,AA,50.06,296.19,DL,15.47,208.14
DFW,TPA,194.21,929.0,730.21,AA,53.85,196.35,DL,32.39,191.93
DFW,TUS,210.98,824.0,198.58,AA,81.44,205.66,UA,1.42,186.07
DFW,TUL,80.26,237.0,705.65,WN,69.93,79.11,WN,69.93,79.11
DFW,IAD,256.12,1192.0,1594.13,AA,71.77,276.0,DL,11.63,210.51
DFW,PBI,201.21,1103.0,211.08,DL,75.54,197.3,DL,75.54,197.3
DAY,LAX,173.97,1925.0,200.54,AA,29.53,171.86,AA,29.53,171.86
DAY,LGA,163.7,554.0,235.76,CO,44.81,191.75,US,17.47,133.18
DAY,MCO,132.14,808.0,228.36,DL,43.21,131.35,FL,29.41,130.49
DEN,DTW,122.52,1123.0,862.6,NW,34.52,136.08,NK,29.37,98.93
DEN,FLL,137.78,1703.0,809.67,NK,47.25,130.38,NK,47.25,130.38
DEN,BDL,209.57,1671.0,217.5,AA,33.88,177.39,CO,10.24,126.41
DEN,IAH,151.25,889.0,1213.69,CO,51.88,156.49,F9,10.78,116.57
DEN,IND,140.31,977.0,525.65,UA,49.91,150.55,F9,33.33,128.94
DEN,MCI,157.93,533.0,658.8,F9,52.03,149.27,F9,52.03,149.27
DEN,LAS,141.29,629.0,1350.54,UA,37.57,164.74,F9,34.74,127.6
DEN,LAX,180.55,862.0,1857.71,UA,56.99,200.01,F9,21.43,153.38
DEN,MIA,270.89,1709.0,271.84,UA,53.21,299.74,AA,28.14,245.89
DEN,MKE,176.27,895.0,278.91,YX,47.11,174.3,YX,47.11,174.3
DEN,MSP,143.91,680.0,1166.19,NW,44.64,149.58,F9,13.15,123.05
DEN,MSY,162.72,1062.0,414.56,UA,38.85,186.83,F9,38.54,145.43
DEN,LGA,209.7,1626.0,2326.19,UA,47.79,241.39,F9,10.05,166.62
DEN,OAK,187.48,957.0,378.47,UA,90.86,186.21,AS,1.17,173.21
DEN,OKC,141.59,495.0,259.02,UA,58.7,153.73,F9,33.02,116.74
DEN,OMA,161.33,472.0,328.04,UA,55.26,175.85,F9,43.77,143.33
DEN,ONT,159.98,819.0,344.23,UA,76.94,164.69,HP,18.12,139.16
DEN,MCO,189.68,1545.0,909.89,F9,31.57,177.87,DL,14.08,139.92
DEN,PHL,245.67,1557.0,583.26,UA,44.57,285.13,US,36.28,223.0
DEN,PHX,165.91,602.0,1495.86,UA,33.01,186.18,F9,32.74,139.34
DEN,PIT,239.88,1290.0,247.17,US,62.97,227.36,US,62.97,227.36
DEN,PDX,178.1,992.0,671.08,UA,48.85,197.17,F9,29.78,151.62
DEN,RDU,175.06,1436.0,296.19,AA,37.83,140.79,NW,20.66,130.94
DEN,RNO,146.57,804.0,258.15,UA,52.84,163.91,F9,37.38,115.34
DEN,SMF,178.05,910.0,500.65,UA,61.87,191.76,F9,28.94,150.51
DEN,STL,174.44,770.0,526.08,AA,49.04,182.06,UA,45.92,166.94
DEN,SLC,163.12,391.0,738.36,F9,38.42,138.05,F9,38.42,138.05
DEN,SAT,187.65,794.0,257.93,UA,65.19,189.66,AA,11.88,183.04
DEN,SAN,174.49,853.0,825.76,UA,52.28,195.76,F9,33.51,150.05
DEN,SFO,194.68,967.0,1318.36,UA,66.63,214.72,F9,24.41,154.39
DEN,SJC,197.52,948.0,566.52,UA,69.89,216.5,F9,16.17,160.89
DEN,SNA,223.35,846.0,493.69,UA,85.42,229.58,DL,3.5,137.53
DEN,SEA,182.01,1024.0,1091.95,UA,43.6,205.55,F9,27.35,153.88
DEN,TPA,186.93,1506.0,550.54,UA,37.05,213.47,DL,13.85,160.15
DEN,TUS,137.86,639.0,348.58,UA,49.79,145.03,F9,35.39,122.39
DEN,IAD,243.55,1476.0,1290.32,UA,63.55,291.87,NW,6.76,129.18
DSM,LGA,161.86,1038.0,203.15,CO,26.96,173.53,NW,10.91,149.76
DSM,PHX,145.25,1149.0,258.69,HP,55.16,151.71,AA,10.67,125.48
DTW,FLL,139.31,1127.0,1022.93,NK,52.3,127.4,NK,52.3,127.4
DTW,RSW,147.64,1085.0,815.76,NK,53.83,133.31,NK,53.83,133.31
DTW,BDL,218.1,548.0,219.45,NW,75.78,228.09,WN,10.05,164.91
DTW,IAH,211.6,1093.0,593.47,CO,48.8,222.5,NW,34.32,207.01
DTW,IND,216.8,231.0,241.08,NW,85.7,230.45,WN,8.65,105.72
DTW,JAX,170.4,814.0,202.5,NW,70.04,170.57,NW,70.04,170.57
DTW,MCI,168.21,629.0,412.17,NW,67.06,182.94,WN,21.17,135.59
DTW,LAS,149.29,1750.0,1614.89,NW,53.67,163.26,NK,20.58,117.52
DTW,LAX,183.75,1979.0,1440.32,NW,56.27,202.09,NK,21.53,140.92
DTW,MEM,222.8,610.0,181.41,NW,85.14,233.36,US,2.75,103.39
DTW,MIA,182.28,1145.0,357.28,NW,57.77,189.12,AA,19.59,172.4
DTW,MKE,203.99,238.0,237.82,NW,95.65,205.59,UA,1.59,163.6
DTW,MSP,262.81,528.0,573.69,NW,89.06,277.03,UA,3.59,122.51
DTW,BNA,124.75,457.0,665.86,NW,68.31,129.89,WN,28.92,110.41
DTW,MSY,179.02,926.0,254.02,NW,70.26,184.45,US,2.78,122.5
DTW,LGA,145.26,508.0,2713.69,NW,64.81,143.07,NK,13.08,100.64
DTW,OAK,145.0,2068.0,289.67,NK,70.13,124.26,NK,70.13,124.26
DTW,MCO,139.48,957.0,1454.45,NW,43.27,157.37,NK,39.36,123.42
DTW,PHL,210.02,453.0,591.95,NW,57.05,214.53,US,39.47,203.09
DTW,PHX,174.32,1671.0,994.89,NW,49.61,182.87,HP,35.25,166.26
DTW,PDX,225.83,1953.0,225.86,NW,59.52,237.55,HP,12.12,179.09
DTW,PVD,223.35,614.0,208.15,NW,74.51,237.42,WN,13.68,174.26
DTW,RDU,165.56,501.0,328.15,NW,61.41,177.01,WN,22.49,122.31
DTW,STL,89.36,440.0,806.95,WN,35.3,79.51,WN,35.3,79.51
DTW,SAT,194.5,1215.0,199.02,NW,57.4,191.9,AA,17.25,189.27
DTW,SAN,199.25,1957.0,447.28,NW,51.85,217.07,WN,11.68,157.21
DTW,SFO,234.28,2079.0,552.93,NW,72.32,239.94,DL,2.55,163.57
DTW,SJC,219.31,2063.0,221.41,NW,61.61,222.82,HP,10.4,199.44
DTW,SNA,253.52,1960.0,186.52,NW,54.89,261.85,HP,12.06,234.61
DTW,SEA,232.82,1932.0,403.04,NW,69.41,248.71,WN,3.64,177.49
DTW,TPA,139.08,983.0,1123.15,NK,46.39,120.98,NK,46.39,120.98
DTW,IAD,207.91,405.0,701.73,NW,90.19,212.54,US,3.64,107.38
DTW,PBI,148.33,1087.0,433.36,NW,52.79,159.55,DL,15.5,131.14
ELP,IAH,142.63,684.0,348.47,WN,64.78,138.15,WN,64.78,138.15
ELP,LAS,105.83,584.0,350.97,WN,81.51,107.46,HP,14.92,103.38
ELP,LAX,135.62,714.0,324.45,WN,83.68,137.08,HP,11.82,128.58
ELP,PHX,69.84,347.0,479.45,WN,74.63,69.12,WN,74.63,69.12
ELP,SAT,116.15,496.0,307.39,WN,94.69,116.16,WN,94.69,116.16
ELP,SAN,123.21,636.0,189.67,WN,71.86,127.28,HP,20.11,123.94
EUG,LAX,129.56,748.0,199.45,AS,57.98,138.11,UA,40.32,114.18
FNT,MCO,123.94,1011.0,198.69,FL,60.88,126.62,DL,11.81,110.1
FLL,BDL,127.9,1173.0,769.56,DL,77.5,128.2,US,6.99,112.65
FLL,IAH,169.86,965.0,446.19,CO,65.52,175.89,DL,12.3,133.81
FLL,IND,121.3,1005.0,498.69,TZ,50.37,115.3,TZ,50.37,115.3
FLL,JAX,75.44,318.0,680.76,WN,99.48,74.97,WN,99.48,74.97
FLL,MCI,130.1,1242.0,278.8,DL,38.32,126.09,AA,22.37,113.37
FLL,LAS,171.41,2174.0,526.08,HP,36.26,165.56,HP,36.26,165.56
FLL,ISP,124.43,1093.0,635.43,WN,53.43,127.61,DL,43.53,119.49
FLL,LAX,187.61,2342.0,953.91,AA,51.45,186.16,DL,18.89,180.64
FLL,MHT,137.12,1263.0,183.26,WN,46.2,148.16,DL,25.2,120.6
FLL,MKE,133.46,1243.0,254.13,YX,32.46,139.27,DL,27.41,123.1
FLL,MSP,181.77,1487.0,336.52,NW,36.82,222.43,DL,28.68,143.94
FLL,BNA,137.4,793.0,356.84,WN,76.05,137.66,DL,17.94,135.07
FLL,MSY,134.72,673.0,349.89,WN,75.48,138.3,DL,15.78,122.91
FLL,LGA,127.56,1076.0,8950.76,DL,30.73,122.68,NK,13.93,112.05
FLL,ORF,127.32,781.0,215.0,WN,48.88,126.58,DL,34.88,124.0
FLL,OAK,168.55,2575.0,232.17,WN,29.07,162.99,AA,14.51,154.54
FLL,MCO,77.28,178.0,562.71,WN,81.92,77.2,WN,81.92,77.2
FLL,PHL,134.27,992.0,1223.47,US,60.6,131.5,US,60.6,131.5
FLL,PHX,166.14,1972.0,383.04,HP,28.34,182.91,AA,16.37,138.89
FLL,PIT,136.96,994.0,393.26,US,59.81,128.35,US,59.81,128.35
FLL,PDX,174.48,2693.0,183.15,DL,48.01,175.17,AA,17.38,151.17
FLL,PVD,132.92,1188.0,470.0,WN,42.53,144.64,US,20.69,122.57
FLL,RDU,126.77,680.0,307.06,DL,46.58,123.65,DL,46.58,123.65
FLL,STL,174.87,1056.0,342.5,AA,59.72,177.9,WN,21.92,171.32
FLL,SAN,179.74,2268.0,270.65,DL,36.5,171.84,DL,36.5,171.84
FLL,SFO,220.8,2583.0,215.97,DL,30.29,218.07,DL,30.29,218.07
FLL,SEA,173.5,2717.0,339.23,DL,39.25,172.2,AA,18.58,159.57
FLL,TPA,77.23,197.0,919.67,WN,93.74,77.31,DL,5.57,75.72
FLL,IAD,132.36,901.0,1121.63,B6,46.74,120.83,B6,46.74,120.83
RSW,BDL,126.07,1180.0,240.43,DL,67.63,126.18,US,16.27,119.86
RSW,IND,119.26,946.0,573.15,TZ,78.6,119.9,DL,13.4,119.9
RSW,MKE,130.35,1183.0,242.28,DL,31.76,116.89,DL,31.76,116.89
RSW,MSP,178.22,1416.0,528.15,NW,57.78,195.75,SY,17.26,146.19
RSW,LGA,150.93,1080.0,1470.43,B6,45.56,138.89,DL,12.59,135.84
RSW,PHL,149.71,992.0,301.19,US,62.97,146.56,US,62.97,146.56
RSW,PIT,133.03,966.0,205.65,US,53.54,123.18,US,53.54,123.18
RSW,IAD,152.88,892.0,238.15,DL,49.93,161.06,AA,11.27,137.36
GRR,LAS,154.74,1643.0,193.47,NW,45.56,153.44,DL,11.68,151.8
GRR,MSP,173.42,408.0,193.04,NW,82.37,183.6,TZ,10.24,129.2
GRR,LGA,168.8,626.0,234.23,CO,28.58,231.17,UA,14.7,134.71
GRR,MCO,139.98,1023.0,234.13,NW,36.49,142.69,UA,10.67,127.17
GSO,LGA,152.08,461.0,567.5,CO,34.49,180.14,US,29.53,121.17
GSO,MCO,110.96,534.0,320.54,DL,73.92,107.5,DL,73.92,107.5
GSO,PHL,154.55,365.0,184.78,US,93.17,152.69,US,93.17,152.69
GSP,LGA,205.8,610.0,233.26,CO,61.04,211.45,US,15.0,161.31
GPT,TPA,81.36,429.0,203.69,FL,92.9,77.4,FL,92.9,77.4
HRL,IAH,79.19,295.0,470.21,WN,92.16,78.69,WN,92.16,78.69
MDT,MCO,122.15,851.0,196.19,US,55.84,121.21,US,55.84,121.21
BDL,IAH,200.89,1519.0,217.39,DL,27.0,162.53,DL,27.0,162.53
BDL,LAS,148.82,2298.0,402.39,DL,30.63,145.06,AA,24.5,139.02
BDL,LAX,178.54,2527.0,477.93,AA,27.35,165.45,US,11.41,159.76
BDL,MSP,276.58,1050.0,238.15,NW,72.52,312.93,DL,8.71,108.34
BDL,BNA,125.15,852.0,234.45,WN,69.86,124.39,DL,12.51,116.91
BDL,MSY,128.83,1279.0,185.0,DL,41.53,125.26,US,23.97,122.56
BDL,MCO,123.12,1050.0,1258.04,DL,63.46,122.06,DL,63.46,122.06
BDL,PHX,161.54,2213.0,369.78,HP,28.21,183.4,DL,15.57,141.28
BDL,RDU,156.97,532.0,241.3,AA,42.47,192.87,WN,41.26,119.43
BDL,STL,185.2,957.0,204.23,AA,70.09,188.36,WN,12.13,181.36
BDL,SAN,182.11,2502.0,239.67,AA,30.38,174.99,DL,18.63,168.45
BDL,TPA,125.98,1111.0,729.13,DL,70.85,123.03,DL,70.85,123.03
BDL,IAD,165.28,326.0,324.56,US,78.96,161.89,US,78.96,161.89
BDL,PBI,134.75,1133.0,589.56,DL,78.22,135.84,DL,78.22,135.84
IAH,IND,160.15,862.0,328.15,CO,69.52,161.59,US,1.25,114.31
IAH,JAN,82.7,359.0,298.15,WN,77.87,78.84,WN,77.87,78.84
IAH,JAX,148.08,817.0,225.65,CO,66.32,143.51,CO,66.32,143.51
IAH,MCI,148.42,668.0,512.39,CO,56.49,146.2,CO,56.49,146.2
IAH,LAS,157.84,1243.0,1132.93,CO,55.0,162.06,WN,36.23,150.82
IAH,LIT,118.32,393.0,264.45,WN,60.5,117.87,CO,32.96,117.76
IAH,LAX,212.37,1397.0,1291.63,CO,60.06,222.39,WN,21.45,188.29
IAH,SDF,163.93,803.0,194.34,CO,55.2,158.42,CO,55.2,158.42
IAH,LBB,104.53,482.0,354.13,WN,65.71,103.72,WN,65.71,103.72
IAH,MEM,190.44,484.0,202.82,CO,43.56,209.8,NW,41.69,177.9
IAH,MIA,178.65,964.0,440.32,CO,60.18,185.11,AA,31.86,167.38
IAH,MAF,115.08,449.0,420.86,WN,66.89,113.97,WN,66.89,113.97
IAH,MSP,273.66,1059.0,416.08,NW,42.45,292.76,FL,10.34,170.86
IAH,BNA,141.06,670.0,555.86,WN,63.33,134.31,WN,63.33,134.31
IAH,MSY,103.82,305.0,1808.15,WN,66.98,97.3,WN,66.98,97.3
IAH,LGA,271.02,1428.0,2542.28,CO,73.22,290.61,US,2.5,116.4
IAH,OAK,209.13,1649.0,436.19,CO,55.41,209.36,WN,22.77,204.07
IAH,OKC,116.26,423.0,576.52,WN,58.95,114.41,WN,58.95,114.41
IAH,OMA,159.96,807.0,220.0,CO,72.77,159.52,CO,72.77,159.52
IAH,ONT,188.55,1353.0,265.54,CO,41.95,178.47,CO,41.95,178.47
IAH,MCO,160.37,853.0,813.47,CO,55.62,167.75,WN,28.24,158.06
IAH,PHL,244.07,1335.0,676.3,CO,46.06,261.4,US,28.86,231.52
IAH,PHX,163.21,1028.0,798.26,CO,36.57,166.52,WN,34.64,158.81
IAH,PIT,231.91,1131.0,341.52,US,43.18,207.97,US,43.18,207.97
IAH,PDX,222.34,1850.0,267.06,CO,54.78,216.94,CO,54.78,216.94
IAH,RDU,162.08,1050.0,403.47,CO,57.86,161.35,CO,57.86,161.35
IAH,SMF,202.23,1632.0,249.23,CO,43.43,198.19,WN,24.33,193.46
IAH,STL,142.84,687.0,698.04,WN,54.32,132.45,WN,54.32,132.45
IAH,SLC,184.89,1220.0,393.26,CO,40.46,188.03,WN,10.25,179.27
IAH,SAT,85.81,199.0,641.63,WN,70.45,82.54,WN,70.45,82.54
IAH,SAN,199.03,1320.0,528.47,CO,49.91,209.37,WN,27.21,180.1
IAH,SFO,313.22,1656.0,467.6,CO,60.76,354.08,HP,10.34,212.29
IAH,SJC,209.62,1629.0,404.56,CO,53.7,203.85,WN,11.84,201.22
IAH,SNA,249.06,1365.0,315.0,CO,59.45,261.92,HP,18.49,209.37
IAH,SEA,225.27,1900.0,512.6,CO,62.4,227.68,DL,4.66,181.09
IAH,TPA,161.85,787.0,500.97,CO,60.7,164.26,CO,60.7,164.26
IAH,TUL,120.65,456.0,703.69,WN,55.29,120.07,WN,55.29,120.07
IAH,IAD,255.5,1218.0,915.32,CO,74.62,273.29,US,3.12,137.0
IND,MCI,93.47,451.0,281.19,WN,60.8,85.43,WN,60.8,85.43
IND,LAS,122.8,1591.0,840.97,TZ,56.21,121.94,WN,16.14,116.74
IND,LAX,156.11,1814.0,614.45,WN,22.28,151.84,TZ,21.19,147.18
IND,MSP,218.63,503.0,350.97,NW,77.39,235.97,TZ,14.92,155.29
IND,LGA,170.97,664.0,718.47,CO,36.11,226.61,TZ,30.34,119.94
IND,MCO,104.43,828.0,1027.71,TZ,46.17,98.9,TZ,46.17,98.9
IND,PHL,199.52,587.0,289.02,US,71.3,215.09,UA,7.78,137.15
IND,PHX,122.32,1489.0,714.45,HP,36.52,128.95,TZ,25.87,111.66
IND,SAN,171.73,1783.0,234.67,AA,26.16,170.38,AA,26.16,170.38
IND,SFO,154.45,1944.0,267.93,UA,32.29,165.48,AA,22.1,137.03
IND,SEA,148.94,1866.0,213.91,UA,30.03,150.68,TZ,12.9,142.62
IND,TPA,109.86,840.0,685.21,TZ,58.21,100.23,TZ,58.21,100.23
PSP,PDX,140.07,873.0,206.84,AS,83.44,138.93,DL,2.62,122.44
PSP,SFO,104.9,421.0,308.91,AS,87.33,102.77,AS,87.33,102.77
PSP,SEA,140.87,987.0,368.36,AS,90.64,141.21,UA,4.63,133.84
JAX,LAX,185.14,2153.0,232.82,DL,46.45,180.98,AA,17.6,173.65
JAX,BNA,105.36,484.0,265.86,WN,84.21,103.79,WN,84.21,103.79
JAX,MSY,106.82,513.0,188.15,WN,65.68,98.44,WN,65.68,98.44
JAX,LGA,173.47,834.0,887.6,CO,42.17,185.49,DL,38.08,177.02
JAX,ORF,97.89,543.0,264.45,WN,73.2,91.02,WN,73.2,91.02
JAX,PHL,144.93,742.0,428.91,US,81.12,140.89,US,81.12,140.89
JAX,IAD,162.25,634.0,188.58,DL,46.51,178.85,FL,15.61,121.87
MCI,LAS,130.0,1140.0,768.04,WN,78.26,126.85,DL,7.72,124.01
MCI,LAX,161.5,1363.0,703.36,WN,60.79,157.16,AA,11.34,156.99
MCI,MKE,156.87,436.0,210.43,YX,86.82,157.7,DL,1.75,108.73
MCI,MSP,239.95,393.0,377.93,NW,95.31,242.92,UA,1.46,131.05
MCI,BNA,78.41,491.0,387.82,WN,87.69,75.46,WN,87.69,75.46
MCI,MSY,112.46,690.0,263.26,DL,24.85,99.97,NW,14.94,96.84
MCI,LGA,195.63,1113.0,938.26,AA,29.43,160.66,AA,29.43,160.66
MCI,OAK,179.29,1489.0,210.21,WN,75.38,181.75,HP,10.44,147.24
MCI,OKC,75.47,313.0,266.52,WN,98.53,73.67,WN,98.53,73.67
MCI,MCO,125.96,1072.0,639.89,WN,58.21,123.56,AA,13.3,115.11
MCI,PHL,150.22,1038.0,331.08,US,74.22,148.14,AA,8.27,140.81
MCI,PHX,142.08,1044.0,711.84,WN,54.64,140.37,WN,54.64,140.37
MCI,PDX,159.93,1481.0,230.76,WN,37.02,154.04,WN,37.02,154.04
MCI,RDU,122.11,904.0,246.84,WN,33.81,138.38,DL,23.16,108.89
MCI,SMF,171.31,1442.0,194.02,WN,54.39,164.82,WN,54.39,164.82
MCI,STL,71.12,237.0,575.0,WN,61.49,70.73,WN,61.49,70.73
